,deso,q1_pct,q2_pct,q3_pct,q4_pct,median_tkr,avg_tkr,tot_pop
302,0180C4030,11,12,24,54,368.5,390.6,1353
303,0180C4040,12,11,20,57,387.9,674.9,1974
304,0180C4050,15,21,30,34,307.4,339.6,1717
305,0180C4060,13,18,25,44,338.8,704.5,2209
306,0180C4070,17,16,24,42,328.1,393.9,1382
307,0180C4080,16,14,21,50,358.8,536.0,1477
308,0180C4090,15,15,25,45,338.4,361.4,1353
309,0180C4100,11,8,15,66,441.5,559.4,1274
310,0180C4110,5,5,15,76,502.0,714.5,1744
311,0180C4120,7,11,18,64,435.6,585.0,1461
312,0180C4130,9,8,18,65,419.8,475.7,1420
313,0180C4140,8,10,16,66,424.6,584.5,1799
314,0180C4150,12,11,21,56,392.3,459.2,1557
315,0180C4160,14,13,18,56,386.2,429.3,1346
316,0180C4170,14,17,20,49,351.7,376.4,1471
317,0180C4180,15,17,25,43,333.1,366.5,1820
318,0180C4190,18,21,26,34,302.3,326.3,1497
319,0180C4200,3,7,18,72,446.1,538.4,1593
320,0180C4210,12,8,9,70,506.9,2371.9,1631
321,0180C4220,12,10,22,57,385.2,489.1,1684
322,0180C4230,10,13,22,55,387.3,431.9,1457
323,0180C4240,18,14,22,47,343.4,418.0,1743
324,0180C4250,15,17,30,38,325.0,342.1,1550
325,0180C4260,20,20,25,35,300.7,344.1,1723
326,0180C4270,14,15,21,50,357.4,380.3,1052
327,0180C4280,14,13,20,54,376.1,437.1,2024
328,0180C4290,6,8,14,71,456.1,597.5,1854
329,0180C4300,18,21,29,32,297.3,317.9,1721
330,0180C4310,12,7,13,68,529.5,1300.8,1729
331,0180C4320,4,7,20,68,434.4,486.0,1676
332,0180C4330,14,13,24,49,355.7,398.6,1492
333,0180C4340,13,11,16,60,435.3,1104.7,1453
334,0180C4350,19,21,22,38,310.4,333.3,1321
335,0180C4360,15,12,19,54,382.9,459.7,1802
336,0180C4370,9,6,17,67,432.1,524.8,1541
337,0180C4380,12,11,13,64,445.8,793.7,1727
338,0180C4390,13,6,13,68,520.3,2081.4,1082
339,0180C4400,11,10,21,58,403.8,459.0,1360
340,0180C4410,16,14,18,52,377.4,443.0,1638
341,0180C4420,20,14,18,47,347.7,379.8,1196
342,0180C4430,15,12,14,59,419.5,1687.0,1242
343,0180C4440,12,16,29,42,332.1,375.1,1538
344,0180C4450,9,10,14,67,449.2,910.5,1776
345,0180C4460,24,24,28,24,274.6,313.4,2387
346,0180C4470,32,20,22,26,258.2,291.2,1752
347,0180C4480,16,13,26,45,346.3,382.7,1537
348,0180C4490,12,11,19,58,394.6,468.5,1628
349,0180C4500,11,11,23,55,389.3,517.4,1347
